1,1,1,0,4,2,1,40.234,2,9
1,1,2,0,2,2,1,79.59,1,18.5
1,1,3,1,3,1,1,60.156,2,27.75
1,1,4,0,1,2,1,49.902,1,37.5
1,1,5,0,1,2,1,56.543,1,47.25
1,1,6,1,3,2,0,60.156,2,36.5
1,1,7,1,2,1,1,49.707,1,46
1,1,8,0,3,1,0,53.223,2,35.25
1,1,9,1,2,1,1,58.398,1,44.75
1,1,10,0,2,2,1,69.824,1,54.25
1,1,11,0,8,2,1,29.492,2,62.25
1,1,12,1,1,2,0,50.488,1,52
1,1,13,0,6,2,1,69.727,1,60.5
1,2,1,1,2,1,1,52.246,1,70
1,2,2,0,5,2,1,60.352,2,78.75
1,2,3,1,2,1,1,60.156,1,88.25
1,2,4,0,5,2,1,80.273,2,97
1,2,5,0,4,2,1,80.273,2,106
1,2,6,0,8,2,1,34.668,2,114
1,2,7,1,4,1,1,80.273,1,123
1,2,8,0,3,2,1,60.156,2,132.25
1,2,9,1,2,1,1,69.629,1,141.75
1,2,10,1,2,1,1,80.273,1,151.25
1,2,11,1,5,1,1,60.645,2,160
1,2,12,0,2,2,1,62.207,1,169.5
1,2,13,1,3,1,1,69.824,1,178.75
1,3,1,1,5,1,1,69.336,2,187.5
1,3,2,1,9,1,1,65.234,2,195.25
1,3,3,0,4,1,0,45.508,2,184.25
1,3,4,0,4,2,1,60.254,2,193.25
1,3,5,1,3,1,1,69.922,1,202.5
1,3,6,0,7,2,1,70.02,2,210.75
1,3,7,0,4,2,1,79.59,1,219.75
1,3,8,1,8,1,1,79.785,2,227.75
1,3,9,1,2,1,1,60.352,1,237.25
1,3,10,1,9,1,1,53.125,2,245
1,3,11,1,7,1,1,69.922,2,253.25
1,3,12,0,7,2,1,70.41,2,261.5
1,3,13,0,4,2,1,79.102,2,270.5
1,4,1,0,8,2,1,35.352,2,278.5
1,4,2,0,3,2,1,90.234,1,287.75
1,4,3,0,3,2,1,79.98,1,297
1,4,4,1,4,1,1,79.98,2,306
1,4,5,1,3,1,1,90.234,1,315.25
1,4,6,1,3,1,1,69.336,1,324.5
1,4,7,1,5,1,1,61.328,1,333.25
1,4,8,0,3,2,1,60.156,2,342.5
1,4,9,0,7,2,1,61.133,2,350.75
1,4,10,1,3,1,1,70.02,1,360
1,4,11,1,3,1,1,82.227,1,369.25
1,4,12,1,2,1,1,50.195,1,378.75
1,4,13,0,5,2,1,74.805,2,387.5
